rank,vendor,model,chipset,price,rating,product_url
N/A,MSI,,,89.99,3 Year Office Equipment Protection Plan,https://www.amazon.com/MSI-B550M-PRO-VDH-ProSeries-Motherboard/dp/B089D1YG11/ref=zg_bs_g_1048424_d_sccl_1/134-8218440-1532460?psc=1
N/A,ASUS,,,159.99,3 Year Office Equipment Protection Plan,https://www.amazon.com/ASUS-TUF-B650-PLUS-Motherboard-Ethernet/dp/B0BHN7GGBQ/ref=zg_bs_g_1048424_d_sccl_2/134-8218440-1532460?psc=1
N/A,GIGABYTE,,,159.99,3 Year Office Equipment Protection Plan,https://www.amazon.com/GIGABYTE-B650-AX-Triple-Realtek/dp/B083TZ68H1/ref=zg_bs_g_1048424_d_sccl_3/134-8218440-1532460?psc=1
N/A,ASUS,,,159.99,3 Year Office Equipment Protection Plan,https://www.amazon.com/ROG-B550-F-II-Motherboard-Addressable/dp/B09GP7P1XS/ref=zg_bs_g_1048424_d_sccl_4/134-8218440-1532460?psc=1
N/A,ASUS,,,89.99,3 Year Office Equipment Protection Plan,https://www.amazon.com/ASUS-Prime-II-Motherboard-Flashback/dp/B08KH12V25/ref=zg_bs_g_1048424_d_sccl_5/134-8218440-1532460?psc=1
N/A,MSI,,,299.99,3 Year Office Equipment Protection Plan,https://www.amazon.com/MSI-Tomahawk-Motherboard-Processors-Bluetooth/dp/B0DG3HK897/ref=zg_bs_g_1048424_d_sccl_6/134-8218440-1532460?psc=1
N/A,MSI,,,149.99,3 Year Office Equipment Protection Plan,https://www.amazon.com/MSI-B760-Motherboard-Supports-Processors/dp/B0C15THTK7/ref=zg_bs_g_1048424_d_sccl_7/134-8218440-1532460?psc=1
N/A,ASUS,,,249.99,Asurion Complete Protect: One plan covers all eligible past and future purchases on Amazon,https://www.amazon.com/ASUS-TUF-Gaming-X870-PLUS-Motherboard/dp/B0DGB8Q19Y/ref=zg_bs_g_1048424_d_sccl_8/134-8218440-1532460?psc=1
N/A,MSI,,,179.99,3 Year Office Equipment Protection Plan,https://www.amazon.com/MSI-B650-Tomahawk-Motherboard-Processors/dp/B0BHCCNSRH/ref=zg_bs_g_1048424_d_sccl_9/134-8218440-1532460?psc=1
N/A,GIGABYTE,,,209.99,3 Year Office Equipment Protection Plan,https://www.amazon.com/GIGABYTE-B650-Warranty-EZ-Latch-Motherboard/dp/B0BH7GTY9C/ref=zg_bs_g_1048424_d_sccl_10/134-8218440-1532460?psc=1
